views,cart_additions,total_spent,days_since_last_active,purchased
14,4,52.32,32,1
8,2,71.8,47,0
4,0,338.12,62,0
6,4,257.08,69,0
11,2,65.63,0,0
8,4,44.03,25,1
7,1,46.96,30,0
6,2,239.25,52,0
7,3,77.93,78,0
5,3,29.1,39,0
12,0,73.61,41,0
6,3,136.28,7,0
9,1,100.62,47,0
7,2,260.0,43,0
10,2,137.48,57,1
8,2,151.05,76,0
11,2,203.82,51,0
5,1,196.63,4,1
7,3,73.32,73,0
11,1,44.73,42,0
6,0,129.76,43,0
13,1,117.22,78,0
7,0,138.22,53,0
10,3,146.52,71,0
10,1,312.22,79,0
10,2,89.54,44,0
10,2,150.64,88,0
10,1,44.55,15,1
11,2,57.57,78,0
6,0,111.92,76,0
14,2,50.74,8,0
8,2,172.59,13,1
11,2,155.21,3,1
8,2,66.37,24,0
15,5,94.54,89,0
9,3,240.88,11,0
11,1,128.66,3,0
5,0,432.16,41,0
9,2,94.6,31,0
7,0,103.06,56,0
10,1,111.92,54,0
10,1,25.55,74,0
9,3,99.52,37,1
9,3,96.95,41,0
7,2,183.44,2,1
8,2,247.36,87,0
7,2,88.52,19,0
8,3,14.17,53,0
7,4,124.7,79,0
8,1,50.22,54,0
6,2,132.68,56,0
10,2,130.24,15,1
12,1,62.33,63,0
4,3,125.45,17,1
10,0,30.06,62,0
10,3,138.55,51,0
8,4,195.23,44,1
5,2,160.04,64,0
7,3,74.64,64,0
6,3,185.51,18,1
10,1,171.38,33,1
12,1,176.72,43,1
17,1,267.07,13,1
13,4,147.88,32,1
7,0,45.89,3,0
9,1,52.93,39,0
11,3,147.96,18,0
12,6,21.67,19,1
9,0,98.37,73,0
14,2,84.95,12,1
9,2,168.0,10,1
7,3,38.65,28,0
7,1,170.29,2,1
8,3,94.04,78,0
13,3,141.22,88,0
5,2,41.79,72,0
9,1,174.83,71,0
7,1,218.52,9,1
9,2,668.84,49,1
5,2,134.77,7,0
10,1,213.4,27,0
4,2,50.6,44,1
6,1,257.74,61,0
10,3,32.18,24,1
13,6,325.31,23,1
4,2,125.47,74,0
9,0,35.12,20,0
3,2,86.76,43,0
5,1,211.89,25,0
8,2,99.75,76,0
7,3,98.76,48,0
7,4,199.04,9,1
10,2,105.98,13,1
10,0,247.23,87,0
5,2,72.82,84,0
6,3,23.46,69,0
7,1,110.56,6,0
4,4,120.26,65,0
6,3,70.63,59,0
13,3,138.47,84,0
9,0,27.51,43,0
6,3,141.26,42,1
4,3,43.94,56,0
8,2,35.01,13,0
5,0,117.87,67,0
7,3,32.49,44,1
6,0,16.15,16,0
4,0,154.44,73,0
9,2,48.38,23,0
7,2,165.46,77,0
7,2,91.33,24,0
6,1,117.79,43,0
12,2,214.1,39,0
7,3,148.69,65,0
12,0,167.88,16,0
6,1,163.76,22,0
8,4,65.51,17,0
4,4,144.12,20,0
8,2,53.74,40,0
3,3,144.35,52,0
5,1,88.12,77,0
8,2,102.01,37,0
2,2,301.93,36,0
12,1,159.12,14,0
3,0,69.55,8,0
6,1,27.35,68,0
7,2,120.48,56,0
9,4,30.87,47,0
5,2,326.81,39,1
8,1,104.15,46,0
8,2,200.21,76,0
10,1,37.08,17,0
10,2,156.37,44,1
11,0,228.11,21,1
11,4,165.13,9,1
7,2,190.31,62,0
6,1,146.78,63,0
6,1,82.19,76,0
6,1,55.56,1,0
8,2,63.01,15,0
8,3,331.79,51,1
11,6,129.51,73,0
9,2,242.21,84,0
12,0,72.79,70,0
5,5,182.84,81,0
11,1,52.35,73,0
9,2,93.16,28,1
9,2,79.33,52,0
6,3,307.84,57,0
9,2,59.9,31,0
8,5,169.49,79,1
13,2,149.4,69,0
11,0,40.18,46,0
5,1,243.89,43,0
5,3,262.47,71,0
4,0,129.9,19,0
8,3,115.13,19,1
11,2,23.02,36,0
10,1,35.08,11,0
11,1,91.31,41,0
8,3,53.76,38,1
9,1,200.37,45,0
9,2,33.83,41,0
6,2,31.06,80,0
12,2,159.41,24,0
3,1,142.45,37,0
4,1,123.45,66,0
10,3,183.31,25,1
5,1,68.1,59,0
7,3,82.1,86,0
18,2,139.42,33,0
11,2,129.36,21,1
10,3,57.53,17,0
9,4,222.03,1,1
7,2,41.22,25,1
7,1,87.21,76,0
5,1,43.86,22,0
7,2,422.51,85,1
8,4,117.35,85,0
7,1,50.98,61,0
8,2,79.82,88,0
7,1,138.02,36,1
6,1,199.42,86,0
8,2,55.25,48,0
7,2,271.18,7,0
8,0,114.17,74,0
11,2,160.41,85,0
7,2,75.2,79,0
9,1,145.19,37,0
8,3,70.97,9,1
8,3,83.16,52,0
8,3,204.42,78,0
8,2,154.45,75,0
9,1,89.59,55,0
14,2,197.12,70,0
6,3,134.91,2,1
9,1,19.22,56,0
5,1,102.39,9,0
12,2,201.48,67,0
7,1,325.31,4,1
4,0,46.9,53,0
5,2,192.86,85,0
12,0,113.59,10,1
12,2,40.17,38,0
7,1,43.28,3,0
12,4,48.43,64,1
7,1,29.63,83,0
3,0,37.0,0,0
7,2,116.83,49,1
5,4,18.78,71,0
8,0,55.96,2,0
12,2,83.84,43,0
6,2,56.25,11,0
11,3,33.27,83,0
10,1,110.97,45,0
6,2,55.3,46,0
6,3,58.98,89,0
9,1,98.9,70,0
12,2,168.71,28,1
10,1,66.68,56,1
3,0,69.46,26,0
9,2,38.81,46,0
8,2,199.96,73,0
8,1,112.37,85,0
13,3,191.63,85,0
5,2,212.4,44,0
8,0,65.96,80,0
6,2,182.14,80,0
10,6,120.44,49,0
11,2,70.74,3,1
6,2,62.22,10,0
6,2,110.13,59,0
10,4,129.46,74,0
2,1,14.03,82,0
10,2,78.86,21,1
8,0,125.62,80,0
7,1,146.92,74,0
8,2,98.34,43,0
8,2,143.87,33,1
10,0,62.31,42,0
8,1,141.37,60,0
8,1,128.38,72,0
12,1,210.17,15,1
7,2,280.21,30,1
16,3,213.56,10,1
9,2,89.57,84,0
13,5,40.81,36,1
8,3,55.93,22,1
9,1,275.32,18,0
5,2,114.27,6,0
10,0,131.94,42,0
8,4,191.47,69,1
6,5,109.39,29,1
4,0,234.94,36,0
9,3,36.55,57,0
13,6,151.65,32,1
7,3,331.11,66,0
5,2,247.32,28,0
8,2,256.76,40,1
11,4,33.31,88,0
7,1,126.9,75,0
9,1,99.83,51,0
7,2,55.65,35,1
5,3,128.33,89,0
4,1,41.16,41,0
11,5,143.65,30,1
2,2,52.28,53,0
7,2,138.74,37,0
9,3,57.83,80,0
8,0,85.76,19,0
9,3,79.81,4,0
8,1,98.36,38,0
6,2,105.72,85,0
8,4,80.09,5,0
10,2,47.76,72,0
5,1,219.47,0,0
7,1,108.99,50,0
11,3,130.35,40,1
12,1,80.11,14,0
4,2,430.64,67,1
10,1,115.81,15,0
4,1,226.84,39,1
12,3,86.81,50,0
9,0,155.82,46,0
9,4,95.44,2,1
8,2,203.38,40,1
6,3,73.79,58,0
7,4,43.1,47,1
6,2,130.06,65,0
12,2,212.41,69,0
9,4,97.55,16,0
8,2,72.28,72,0
5,1,36.54,80,0
3,1,214.36,75,0
14,2,54.06,76,0
6,3,79.29,19,0
8,3,77.96,58,0
7,2,103.29,41,0
8,0,154.94,88,0
11,3,352.81,74,1
5,2,133.96,14,0
9,2,36.73,84,0
2,3,99.56,62,0
11,3,135.37,48,1
8,1,237.39,40,0
6,4,219.78,44,1
5,0,96.76,69,0
11,0,113.59,68,0
4,0,125.21,49,0
8,2,113.91,89,0
6,2,99.43,20,0
6,0,285.13,38,0
7,3,62.89,53,0
5,2,195.17,14,0
11,2,172.01,44,0
11,3,96.71,75,0
10,3,59.73,60,0
6,3,108.69,63,0
7,6,159.42,14,1
6,3,5.55,13,0
7,2,40.9,39,0
12,3,10.48,29,0
3,4,131.31,0,0
10,2,127.2,49,0
12,0,45.0,67,0
4,2,56.06,65,0
6,0,122.3,9,0
7,3,26.77,70,0
6,0,165.95,34,0
5,0,88.85,14,1
3,2,103.51,42,0
13,2,109.95,19,1
3,3,37.35,60,0
7,2,110.36,66,0
9,6,152.91,65,0
5,5,60.62,10,0
9,0,55.29,31,0
7,2,338.96,44,0
